"logFC","AveExpr","t","pvalue","adj.pvalue","B","contrast","protein","organism","label","TlogFC"
"sp|P32486|KRE6_YEAST1",0.711558025256556,12.5582012976848,13.2801902192982,2.10711467784718e-05,0.00133489848588794,3.63283249345567,"conditionD-conditionB","sp|P32486|KRE6_YEAST","YEAST","1","0.584962500721156"
"sp|P41811|COPB2_YEAST1",0.548957354749497,15.55424134611,13.2643846323483,2.12065773415877e-05,0.00133489848588794,3.62608003294649,"conditionD-conditionB","sp|P41811|COPB2_YEAST","YEAST","1","0.584962500721156"
"sp|P16861|PFKA1_YEAST1",0.538600485736534,18.5362503672938,13.2473368018605,2.13538012447398e-05,0.00133489848588794,3.61878656917077,"conditionD-conditionB","sp|P16861|PFKA1_YEAST","YEAST","1","0.584962500721156"
"sp|P53141|MLC1_YEAST1",0.56258274224257,16.2670972652726,13.2469304554528,2.13573250652055e-05,0.00133489848588794,3.61861259407814,"conditionD-conditionB","sp|P53141|MLC1_YEAST","YEAST","1","0.584962500721156"
"sp|P38088|SYG_YEAST1",0.564347912724919,17.7094083221308,13.2219493182958,2.15752798929015e-05,0.00133489848588794,3.60790535806635,"conditionD-conditionB","sp|P38088|SYG_YEAST","YEAST","1","0.584962500721156"
"sp|P17255|VATA_YEAST1",0.501589403094858,19.2535869398045,13.2214249399806,2.15798829320092e-05,0.00133489848588794,3.60768035593369,"conditionD-conditionB","sp|P17255|VATA_YEAST","YEAST","1","0.584962500721156"
"sp|P34760|TSA1_YEAST1",0.576001002181219,18.4411199544202,13.2049493427062,2.17250971331575e-05,0.00133489848588794,3.60060576843836,"conditionD-conditionB","sp|P34760|TSA1_YEAST","YEAST","1","0.584962500721156"
"sp|P0C2H6|RL27A_YEAST1",0.589532366488836,17.4663139755949,13.1992451079045,2.17756412695199e-05,0.00133489848588794,3.5981540400387,"conditionD-conditionB","sp|P0C2H6|RL27A_YEAST","YEAST","1","0.584962500721156"
"sp|P22943|HSP12_YEAST1",0.581359956659464,16.2025304461998,13.1984316716915,2.17828602337635e-05,0.00133489848588794,3.59780432004209,"conditionD-conditionB","sp|P22943|HSP12_YEAST","YEAST","1","0.584962500721156"
"sp|P33302|PDR5_YEAST1",0.526043292063331,17.4547269934761,13.1943248922742,2.18193494795811e-05,0.00133489848588794,3.59603832102764,"conditionD-conditionB","sp|P33302|PDR5_YEAST","YEAST","1","0.584962500721156"
"sp|Q04947|RTN1_YEAST1",0.57508100159702,16.515461522412,13.1783922281878,2.19615952844417e-05,0.00133489848588794,3.58918102654599,"conditionD-conditionB","sp|Q04947|RTN1_YEAST","YEAST","1","0.584962500721156"
"sp|P47017|LSM1_YEAST1",0.69692208938827,12.217999333716,13.1644085196227,2.20873402750853e-05,0.00133489848588794,3.58315477445856,"conditionD-conditionB","sp|P47017|LSM1_YEAST","YEAST","1","0.584962500721156"
"sp|P48589|RS12_YEAST1",0.529016197047095,17.3034792056837,13.1430345654186,2.22811802358009e-05,0.00133489848588794,3.57392963733778,"conditionD-conditionB","sp|P48589|RS12_YEAST","YEAST","1","0.584962500721156"
"sp|P05755|RS9B_YEAST1",0.606010515373047,18.3879609525829,13.141547706223,2.22947387979263e-05,0.00133489848588794,3.57328726529495,"conditionD-conditionB","sp|P05755|RS9B_YEAST","YEAST","1","0.584962500721156"
"sp|P04806|HXKA_YEAST1",0.48565926448838,18.5335159767516,13.125847931407,2.24384976553805e-05,0.00133489848588794,3.56649940542786,"conditionD-conditionB","sp|P04806|HXKA_YEAST","YEAST","1","0.584962500721156"
"sp|P32803|EMP24_YEAST1",0.537561200351401,12.9006886716318,13.0926915541818,2.27456999810891e-05,0.00133489848588794,3.55213378362364,"conditionD-conditionB","sp|P32803|EMP24_YEAST","YEAST","1","0.584962500721156"
