DEA,expression_type,MVI,Normalization,label
ROTS,raw,missForest,center.median,2.0
limma,pro_LFQ,nbavg,max,2.0
proDA,pro_LFQ,zero,center.mean,2.0
SAM,norm,knn,No_norm,2.0
proDA,MaxLFQ_raw,missForest,center.median,2.0
limma,raw,bpca,quantiles,2.0
siggenes,pro_LFQ,mice,center.mean,2.0
ROTS,raw,bpca,No_norm,2.0
SAM,norm,bpca,center.mean,2.0
limma,norm_raw,bpca,No_norm,2.0
limma,MaxLFQ_raw,zero,center.median,2.0
proDA,MaxLFQ_raw,missForest,center.mean,2.0
limma,raw,MLE,center.mean,2.0
limma,pro_LFQ,MLE,max,2.0
limma,pro_LFQ,MLE,vsn,2.0
SAM,pro_LFQ,bpca,quantiles,2.0
limma,pro_LFQ,nbavg,vsn,2.0
proDA,MaxLFQ_raw,QRILC,center.mean,2.0
limma,raw,bpca,center.median,2.0
SAM,pro_LFQ,knn,No_norm,2.0
DEP,MaxLFQ_raw,min,quantiles,2.0
limma,pro_LFQ,nbavg,sum,2.0
ROTS,MaxLFQ_raw,mice,quantiles,2.0
limma,norm_raw,QRILC,center.median,2.0
limma,pro_LFQ,MinDet,vsn,2.0
limma,pro_LFQ,MinProb,vsn,2.0
SAM,pro_LFQ,QRILC,center.mean,2.0
limma,norm_raw,bpca,center.mean,2.0
limma,norm_raw,QRILC,quantiles,2.0
SAM,norm,MLE,center.mean,2.0
