DEA,expression_type,MVI,Normalization,label
ttest,ratio,MinProb,center.median,2.0
ttest,ratio,QRILC,No_norm,2.0
ttest,ratio,QRILC,center.median,2.0
ttest,abd,MinProb,No_norm,2.0
ttest,ratio,nbavg,No_norm,2.0
ttest,abd,nbavg,No_norm,2.0
DEP,abd,zero,Rlr,2.0
ttest,ratio,nbavg,center.median,2.0
ttest,ratio,MinDet,No_norm,2.0
ttest,ratio,min,No_norm,2.0
ttest,abd,min,No_norm,2.0
ttest,ratio,MinDet,center.median,2.0
ttest,ratio,min,center.median,2.0
ttest,abd,MinDet,No_norm,2.0
limma,abd,GMS,center.median,2.0
limma,abd,SeqKNN,center.median,2.0
ROTS,phi,nbavg,No_norm,2.0
limma,abd,Impseqrob,center.median,2.0
limma,abd,Impseq,center.median,2.0
limma,abd,bpca,center.median,2.0
limma,abd,missForest,center.median,2.0
limma,abd,No_MVI,center.median,2.0
DEP,abd,SeqKNN,center.median,2.0
DEP,abd,GMS,center.median,2.0
ROTS,phi,No_MVI,Rlr,2.0
DEP,abd,Impseq,center.median,2.0
DEP,abd,missForest,center.median,2.0
DEP,abd,bpca,center.median,2.0
ROTS,phi,MLE,Rlr,2.0
DEP,abd,Impseqrob,center.median,2.0
DEP,abd,No_MVI,center.median,2.0
ROTS,phi,missForest,Rlr,2.0
proDA,phi,GMS,center.median,2.0
ROTS,phi,Impseqrob,Rlr,2.0
limma,phi,GMS,center.median,2.0
ROTS,phi,mice,Rlr,2.0
proDA,phi,Impseqrob,center.median,2.0
limma,phi,Impseqrob,center.median,2.0
proDA,phi,SeqKNN,center.median,2.0
limma,phi,SeqKNN,center.median,2.0
ROTS,phi,GMS,Rlr,2.0
limma,phi,Impseq,center.median,2.0
proDA,phi,Impseq,center.median,2.0
limma,abd,mice,center.median,2.0
limma,phi,bpca,center.median,2.0
proDA,phi,bpca,center.median,2.0
proDA,phi,No_MVI,center.median,2.0
proDA,phi,missForest,center.median,2.0
limma,phi,missForest,center.median,2.0
ROTS,phi,Impseq,Rlr,2.0
ROTS,phi,QRILC,Rlr,2.0
limma,phi,No_MVI,center.median,2.0
DEP,phi,SeqKNN,center.median,2.0
ROTS,phi,MinDet,Rlr,2.0
proDA,phi,mice,center.median,2.0
ROTS,phi,bpca,Rlr,2.0
limma,phi,mice,center.median,2.0
proDA,phi,zero,center.median,2.0
limma,abd,knn,center.median,2.0
proDA,abd,GMS,center.median,2.0
ROTS,phi,SeqKNN,Rlr,2.0
proDA,abd,SeqKNN,center.median,2.0
DEP,abd,mice,center.median,2.0
ROTS,phi,MinProb,Rlr,2.0
limma,abd,MinProb,center.median,2.0
proDA,abd,Impseq,center.median,2.0
proDA,abd,No_MVI,center.median,2.0
ROTS,phi,min,Rlr,2.0
proDA,abd,bpca,center.median,2.0
proDA,abd,Impseqrob,center.median,2.0
limma,phi,MinProb,center.median,2.0
proDA,phi,MinProb,center.median,2.0
DEP,phi,mice,center.median,2.0
proDA,phi,QRILC,center.median,2.0
proDA,abd,missForest,center.median,2.0
proDA,abd,zero,center.median,2.0
DEP,phi,Impseqrob,center.median,2.0
limma,phi,QRILC,center.median,2.0
DEP,phi,Impseq,center.median,2.0
proDA,phi,MLE,center.median,2.0
ROTS,abd,nbavg,Rlr,2.0
DEP,phi,bpca,center.median,2.0
DEP,phi,GMS,center.median,2.0
ttest,ratio,GMS,max,2.0
limma,abd,QRILC,center.median,2.0
ROTS,phi,knn,Rlr,2.0
DEP,phi,No_MVI,center.median,2.0
limma,abd,MinDet,center.median,2.0
proDA,phi,MinDet,center.median,2.0
DEP,phi,missForest,center.median,2.0
limma,abd,MLE,center.median,2.0
limma,phi,MinDet,center.median,2.0
proDA,abd,MLE,center.median,2.0
ttest,ratio,MinDet,max,2.0
limma,phi,MLE,center.median,2.0
proDA,abd,mice,center.median,2.0
ttest,ratio,mice,max,2.0
proDA,phi,knn,center.median,2.0
limma,abd,zero,center.median,2.0
ttest,ratio,missForest,max,2.0
DEP,abd,MLE,center.median,2.0
proDA,abd,knn,center.median,2.0
DEP,phi,QRILC,center.median,2.0
DEP,phi,MinProb,center.median,2.0
ttest,ratio,SeqKNN,max,2.0
DEP,abd,MinProb,center.median,2.0
limma,phi,knn,center.median,2.0
ttest,ratio,knn,max,2.0
ttest,ratio,QRILC,max,2.0
ttest,ratio,MinProb,max,2.0
proDA,abd,MinProb,center.median,2.0
ROTS,phi,nbavg,Rlr,2.0
limma,abd,nbavg,center.median,2.0
DEP,abd,QRILC,center.median,2.0
ttest,ratio,No_MVI,max,2.0
limma,phi,nbavg,center.median,2.0
proDA,phi,nbavg,center.median,2.0
DEP,abd,knn,center.median,2.0
proDA,phi,min,center.median,2.0
ttest,ratio,zero,max,2.0
DEP,phi,knn,center.median,2.0
DEP,phi,MinDet,center.median,2.0
DEP,abd,min,center.median,2.0
ttest,ratio,Impseqrob,max,2.0
limma,abd,min,center.median,2.0
ttest,ratio,MLE,max,2.0
proDA,abd,QRILC,center.median,2.0
ttest,ratio,Impseq,max,2.0
proDA,abd,MinDet,center.median,2.0
