"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"148","sp|P0CX35|RS4A_YEAST;sp|P0CX36|RS4B_YEAST","conditionC-conditionB",28.4857592190799,2.87186380520943e-06,0.309989017563838,0.000132008712613782,"YEAST","1","0.321928094887362"
"149","sp|P21965|MCK1_YEAST","conditionC-conditionB",28.3943685078912,3.00162089195144e-06,0.45151127170484,0.000137047160590239,"YEAST","1","0.321928094887362"
"150","sp|P28495|CAPZA_YEAST","conditionC-conditionB",28.3275678844364,3.10014984128415e-06,0.452556230803674,0.00014060212913504,"YEAST","1","0.321928094887362"
"151","sp|P25294|SIS1_YEAST","conditionC-conditionB",28.2622296618103,3.19964230299785e-06,0.430654695894434,0.00014415342110791,"YEAST","1","0.321928094887362"
"152","sp|P06105|SC160_YEAST","conditionC-conditionB",28.2412637929872,3.23223787246363e-06,0.311344034650205,0.000144663909515592,"YEAST","1","0.321928094887362"
"153","sp|P14120|RL30_YEAST","conditionC-conditionB",28.1502728589882,3.37758337831673e-06,0.408748438418899,0.000148390688223704,"YEAST","1","0.321928094887362"
"154","sp|P43603|LSB3_YEAST","conditionC-conditionB",28.1494772911688,3.37888252377461e-06,0.510208103140471,0.000148390688223704,"YEAST","1","0.321928094887362"
"155","sp|Q12690|RL13A_YEAST","conditionC-conditionB",28.148215996986,3.38094321250537e-06,0.307553483771937,0.000148390688223704,"YEAST","1","0.321928094887362"
"156","sp|P43619|NADC_YEAST","conditionC-conditionB",28.1030359152823,3.45559060910272e-06,1.03118235325106,0.000150694762267473,"YEAST","1","0.321928094887362"
"157","sp|P05694|METE_YEAST","conditionC-conditionB",27.9592559150191,3.70426422058312e-06,0.311948210738873,0.000160510251545395,"YEAST","1","0.321928094887362"
"158","sp|P39954|SAHH_YEAST","conditionC-conditionB",27.9123053536984,3.78927281152741e-06,0.309890236468366,0.000162434946130809,"YEAST","1","0.321928094887362"
